Skupina;Ucinna_latka;Snizeni_symptomu_%;Pocet_pacientu;Vyskyt_nezadoucich_ucinku_%
B;Empagliflozin;48,4;231;14,6
B;Klopidogrel;69,8;289;30,6
A;Sitagliptin;73,5;159;11,1
A;Sitagliptin;71,3;145;11,3
A;Sitagliptin;65,9;150;10,5
B;Sitagliptin;56,1;124;22,7
B;Bisoprolol;56,5;308;9,4
B;Kandesartan;46,0;88;6,4
A;Perindopril;70,5;126;6,9
A;Bisoprolol;76,2;175;9,4
A;Bisoprolol;76,2;125;1,0
B;Losartan;25,8;149;18,3
B;Atorvastatin;66,3;116;19,4
A;Empagliflozin;74,9;149;5,9
B;Klopidogrel;45,3;210;23,6
A;Kandesartan;60,5;212;11,9
B;Amlodipin;42,9;114;12,0
A;Kandesartan;75,4;186;4,2
A;Atorvastatin;68,0;509;8,4
B;Bisoprolol;35,5;161;28,3
A;Kandesartan;71,2;138;9,8
A;Empagliflozin;84,5;264;6,2
A;Rosuvastatin;69,4;188;3,7
A;Losartan;84,5;135;7,7
B;Kandesartan;49,2;95;6,9
B;Metformin;54,7;600;27,2
B;Perindopril;69,2;139;19,7
A;Klopidogrel;74,3;158;8,2
B;Losartan;35,2;207;7,2
A;Kandesartan;67,2;150;5,6
A;Empagliflozin;71,8;276;5,4
A;Bisoprolol;85,8;244;10,0
B;Empagliflozin;65,6;202;22,3
B;Empagliflozin;58,2;212;10,3
B;Bisoprolol;42,5;228;27,1
B;Dapagliflozin;69,8;84;16,1
A;Losartan;71,0;264;8,3
B;Perindopril;47,7;91;20,5
B;Rosuvastatin;52,0;133;12,8
A;Atorvastatin;68,2;363;6,9
A;Sitagliptin;67,6;95;1,0
A;Losartan;67,4;299;5,3
B;Amlodipin;67,5;152;18,4
A;Sitagliptin;69,1;354;8,0
B;Empagliflozin;28,0;151;14,2
A;Sitagliptin;76,9;123;9,9
B;Metformin;64,4;242;19,3
A;Losartan;72,7;212;5,8
A;Klopidogrel;70,0;44;13,9
A;Sitagliptin;55,8;125;3,3
A;Klopidogrel;54,9;97;4,1
B;Empagliflozin;80,0;122;30,6
A;Rosuvastatin;58,5;141;1,0
B;Atorvastatin;40,0;67;17,4
A;Sitagliptin;71,5;184;9,5
A;Rosuvastatin;56,8;100;11,4
B;Perindopril;51,9;128;8,4
A;Atorvastatin;73,7;139;10,5
B;Metformin;64,1;218;16,2
B;Amlodipin;75,2;81;31,7
B;Empagliflozin;69,8;77;10,6
A;Bisoprolol;65,1;142;9,7
A;Kandesartan;63,3;96;5,2
B;Perindopril;79,4;233;20,1
A;Amlodipin;68,1;40;5,1
A;Losartan;56,2;48;1,0
A;Sitagliptin;83,2;285;7,8
B;Metformin;56,9;95;23,5
B;Losartan;60,7;198;14,0
B;Sitagliptin;58,8;85;14,2
B;Empagliflozin;53,0;100;20,3
A;Amlodipin;70,3;204;10,3
B;Klopidogrel;67,3;348;11,0
A;Metformin;64,7;155;12,2
B;Sitagliptin;30,3;68;16,8
A;Klopidogrel;79,7;100;14,1
B;Empagliflozin;43,3;220;13,6
A;Kandesartan;69,6;117;15,0
A;Rosuvastatin;71,0;119;11,2
A;Bisoprolol;69,5;98;7,5
A;Klopidogrel;76,5;323;10,4
A;Klopidogrel;84,5;180;6,5
B;Klopidogrel;52,3;337;13,8
A;Rosuvastatin;73,6;272;7,1
B;Metformin;27,8;154;23,6
A;Perindopril;72,5;148;2,7
B;Klopidogrel;61,9;120;19,2
A;Sitagliptin;66,1;170;1,0
B;Losartan;33,1;84;13,4
B;Klopidogrel;40,4;52;18,4
A;Sitagliptin;77,5;43;7,0
B;Dapagliflozin;40,0;40;26,6
A;Metformin;58,2;107;11,2
A;Amlodipin;74,0;375;10,3
B;Atorvastatin;56,5;272;7,6
B;Atorvastatin;42,9;148;14,1
A;Dapagliflozin;72,3;173;11,9
A;Kandesartan;54,1;217;7,5
B;Amlodipin;39,1;171;24,1
B;Sitagliptin;56,9;189;31,0
